# Distance from each area's registered centre to the Polish border, in km.
# NOT the nearest-edge distance: use the interval, never centre_km alone.
# register  sha256:0952de2b19b1fed78b041cac415f296c73b663649e1325f0823082c4f7db1024  ua-geo data/out/katottg.csv
# border    sha256:9271d3b94c69fd837f08318400c6c4e70d7ca262d20237b6b79d548f83f8b154  natural earth 10m admin_0 countries
# method    tools/border_distance.py, geodesic point-to-arc, R=6371.0088 km
tag,katottg_code,centre_km,radius_km,lower_km,upper_km
МогилівПодільський_район,UA05080000000040234,354.2,32.0,322.2,386.2
Бердичівський_район,UA18020000000072859,321.1,31.0,290.2,352.1
Сарненський_район,UA56080000000096146,206.7,44.5,162.2,251.2
Шепетівський_район,UA68060000000040570,202.1,41.3,160.9,243.4
Хмельницький_район,UA68040000000086061,240.9,58.5,182.4,299.4
Рівненський_район,UA56060000000041446,171.1,47.9,123.2,219.0
Вараський_район,UA56020000000011586,148.6,32.5,116.1,181.1
КамянецьПодільський_район,UA68020000000016021,271.2,37.9,233.3,309.1
КаміньКаширський_район,UA07040000000026412,101.2,38.6,62.6,139.8
Дністровський_район,UA73040000000031528,276.5,26.0,250.5,302.5
Луцький_район,UA07080000000034745,89.7,40.9,48.8,130.6
Ковельський_район,UA07060000000092268,40.0,49.4,0.0,89.3
Тернопільський_район,UA61040000000090285,142.4,44.3,98.1,186.7
Чортківський_район,UA61060000000068766,202.9,40.0,162.9,242.9
Кременецький_район,UA61020000000016944,134.1,29.0,105.1,163.0
Вижницький_район,UA73020000000038148,198.9,24.5,174.4,223.4
Дубенський_район,UA56040000000062179,105.1,32.4,72.7,137.5
Чернівецький_район,UA73060000000061247,247.3,36.1,211.1,283.4
Львівський_район,UA46060000000042587,56.3,39.8,16.5,96.1
Рахівський_район,UA21060000000059475,138.5,24.2,114.3,162.7
Косівський_район,UA26100000000092255,174.1,16.7,157.4,190.8
Верховинський_район,UA26020000000044654,177.6,20.0,157.6,197.5
ІваноФранківський_район,UA26040000000044761,137.5,35.2,102.3,172.6
Коломийський_район,UA26080000000050130,175.4,28.1,147.3,203.5
Надвірнянський_район,UA26120000000036058,131.6,24.3,107.3,156.0
Самбірський_район,UA46080000000017237,14.2,32.2,0.0,46.4
Стрийський_район,UA46100000000023056,82.6,35.0,47.6,117.6
Яворівський_район,UA46140000000036328,24.4,27.5,0.0,51.9
Червоноградський_район,UA46120000000057093,16.4,30.9,0.0,47.3
Дрогобицький_район,UA46020000000075920,46.7,21.8,24.9,68.5
Золочівський_район,UA46040000000069196,84.1,30.3,53.8,114.4
Берегівський_район,UA21020000000051405,90.5,21.5,69.0,112.1
Тячівський_район,UA21080000000048851,108.8,24.4,84.4,133.1
Мукачівський_район,UA21040000000077329,43.8,25.6,18.2,69.4
Ужгородський_район,UA21100000000055073,34.6,27.4,7.2,62.0
Хустський_район,UA21120000000022889,77.4,31.8,45.6,109.2
Калуський_район,UA26060000000042554,82.3,33.7,48.6,116.0
ВолодимирВолинський_район,UA07020000000048211,20.8,28.5,0.0,49.4
м_Краматорськ_та_Краматорська_територіальна_громада,UA14120090000098500,990.1,11.4,978.7,1001.5
Запорізька_область,UA23000000000064947,929.7,100.0,829.7,1029.8
Червоногригорівська_територіальна_громада,UA12080150000061416,821.2,11.8,809.4,833.0
