tag,count,unit,register_name,oblast,katottg_code,status,note
Бердичівський_район,164,P,Бердичівський,Житомирська,UA18020000000072859,ok,
Сарненський_район,134,P,Сарненський,Рівненська,UA56080000000096146,ok,
Шепетівський_район,104,P,Шепетівський,Хмельницька,UA68060000000040570,ok,
Хмельницький_район,102,P,Хмельницький,Хмельницька,UA68040000000086061,ok,
Рівненський_район,100,P,Рівненський,Рівненська,UA56060000000041446,ok,
Вараський_район,98,P,Вараський,Рівненська,UA56020000000011586,ok,
КамянецьПодільський_район,80,P,Кам’янець-Подільський,Хмельницька,UA68020000000016021,ok,
КаміньКаширський_район,76,P,Камінь-Каширський,Волинська,UA07040000000026412,ok,
Дністровський_район,74,P,Дністровський,Чернівецька,UA73040000000031528,ok,
Луцький_район,70,P,Луцький,Волинська,UA07080000000034745,ok,
Ковельський_район,68,P,Ковельський,Волинська,UA07060000000092268,ok,
Тернопільський_район,68,P,Тернопільський,Тернопільська,UA61040000000090285,ok,
Чортківський_район,68,P,Чортківський,Тернопільська,UA61060000000068766,ok,
Кременецький_район,68,P,Кременецький,Тернопільська,UA61020000000016944,ok,
Вижницький_район,66,P,Вижницький,Чернівецька,UA73020000000038148,ok,
Дубенський_район,66,P,Дубенський,Рівненська,UA56040000000062179,ok,
Чернівецький_район,66,P,Чернівецький,Чернівецька,UA73060000000061247,ok,
Львівський_район,60,P,Львівський,Львівська,UA46060000000042587,ok,
Рахівський_район,58,P,Рахівський,Закарпатська,UA21060000000059475,ok,
Косівський_район,58,P,Косівський,Івано-Франківська,UA26100000000092255,ok,
Верховинський_район,58,P,Верховинський,Івано-Франківська,UA26020000000044654,ok,
ІваноФранківський_район,58,P,Івано-Франківський,Івано-Франківська,UA26040000000044761,ok,
Коломийський_район,58,P,Коломийський,Івано-Франківська,UA26080000000050130,ok,
Надвірнянський_район,58,P,Надвірнянський,Івано-Франківська,UA26120000000036058,ok,
Самбірський_район,58,P,Самбірський,Львівська,UA46080000000017237,ok,
Стрийський_район,58,P,Стрийський,Львівська,UA46100000000023056,ok,
Яворівський_район,58,P,Яворівський,Львівська,UA46140000000036328,ok,
Червоноградський_район,58,P,Червоноградський,Львівська,UA46120000000057093,ok,
Дрогобицький_район,58,P,Дрогобицький,Львівська,UA46020000000075920,ok,
Золочівський_район,58,P,Золочівський,Львівська,UA46040000000069196,ok,
Берегівський_район,56,P,Берегівський,Закарпатська,UA21020000000051405,ok,
Тячівський_район,56,P,Тячівський,Закарпатська,UA21080000000048851,ok,
Мукачівський_район,56,P,Мукачівський,Закарпатська,UA21040000000077329,ok,
Ужгородський_район,56,P,Ужгородський,Закарпатська,UA21100000000055073,ok,
Хустський_район,56,P,Хустський,Закарпатська,UA21120000000022889,ok,
Калуський_район,56,P,Калуський,Івано-Франківська,UA26060000000042554,ok,
ВолодимирВолинський_район,56,P,Володимирський,Волинська,UA07020000000048211,ok,channel name predates the register entry
м_Краматорськ_та_Краматорська_територіальна_громада,6,H,Краматорська,Донецька,UA14120090000098500,ok,
Запорізька_область,4,O,Запорізька,Запорізька,UA23000000000064947,ok,
Червоногригорівська_територіальна_громада,2,H,Червоногригорівська,Дніпропетровська,UA12080150000061416,ok,
